PRIMARY ID,BREED,COLOR OF DOG,,,,,,,,
47071668,Terrier,None,,,,,,,,
47071672,Labrador,None,,,,,,,,
47071667,Pit,None,,,,,,,,
47071671,Saluki,None,,,,,,,,
47071670,Saluki,None,,,,,,,,
47071662,Chihuahua,None,,,,,,,,
47071660,Pit,None,,,,,,,,
47071656,Boxer,None,,,,,,,,
47071658,Beagle,None,,,,,,,,
47071655,Retriever,None,,,,,,,,
47071657,Retriever,None,,,,,,,,
47071659,Pit,None,,,,,,,,
47071653,Yorkshire,None,,,,,,,,
47071652,Pomeranian,None,,,,,,,,
47071651,Pit,None,,,,,,,,
47071649,Pit,None,,,,,,,,
47071643,Pit,None,,,,,,,,
47071646,Pit,None,,,,,,,,
47071654,Mixed,None,,,,,,,,
47071642,Boxer,None,,,,,,,,
47071636,Hound,None,,,,,,,,
47071635,Pit,None,,,,,,,,
47071627,Belgian,None,,,,,,,,
47071625,Retriever,None,,,,,,,,
47071623,Mastiff,None,,,,,,,,
47071626,Hound,None,,,,,,,,
47071615,Terrier,None,,,,,,,,
47071603,American,None,,,,,,,,
47071604,Silky,None,,,,,,,,
47071606,Terrier,None,,,,,,,,
47071611,Shepherd,None,,,,,,,,
47071600,Terrier,None,,,,,,,,
47071599,Australian,None,,,,,,,,
47071601,Shepherd,None,,,,,,,,
47071598,Shepherd,None,,,,,,,,
47071583,Maltese,None,,,,,,,,
47071597,Rottweiler,None,,,,,,,,
47071581,Border,None,,,,,,,,
47071576,Terrier,None,,,,,,,,
47071579,Shepherd,None,,,,,,,,
47071572,Labrador,None,,,,,,,,
47071589,Cattle,None,,,,,,,,
47071585,Chihuahua,None,,,,,,,,
47071594,Labrador,None,,,,,,,,
47071571,Chihuahua,None,,,,,,,,
47071590,Dutch,None,,,,,,,,
47071577,Schnauzer,None,,,,,,,,
47071573,Shepherd,None,,,,,,,,
47071580,Labrador,None,,,,,,,,
47071582,Shepherd,None,,,,,,,,
47071574,Dutch,None,,,,,,,,
47071586,Shepherd,None,,,,,,,,
47071584,Terrier,None,,,,,,,,
47071575,Labrador,None,,,,,,,,
47071593,Terrier,None,,,,,,,,
47071578,Australian,None,,,,,,,,
47071587,German,None,,,,,,,,
47071570,Mixed,None,,,,,,,,
47071595,Golden,None,,,,,,,,
47071591,Border,None,,,,,,,,
47071588,Labrador,None,,,,,,,,
47071592,Shepherd,None,,,,,,,,
47071596,Shepherd,None,,,,,,,,
47071465,Pit,Brindle,,,,,,,,
47071561,Terrier,Black,,,,,,,,
47071563,Poodle,White,,,,,,,,
47071559,Maltese,Brown,,,,,,,,
47071526,Saint,None,,,,,,,,
47071550,Standard,Black,,,,,,,,
47071480,American,Yellow,,,,,,,,
47071395,Labrador,None,,,,,,,,
47071530,Terrier,Brindle,,,,,,,,
47071553,Shepherd,None,,,,,,,,
47071523,Boxer,Brindle,,,,,,,,
47071549,Mixed,None,,,,,,,,
47071527,Chihuahua,Brown,,,,,,,,
47071482,Mixed,None,,,,,,,,
47071541,Black,None,,,,,,,,
47071534,Chihuahua,None,,,,,,,,
47071516,English,Black,,,,,,,,
47071525,Beagle,None,,,,,,,,
46766357,Bullmastiff,Brindle,,,,,,,,
47071478,Black,Black,,,,,,,,
47071477,Collie,Golden,,,,,,,,
47071463,Chocolate,Brown,,,,,,,,
47071518,Black,None,,,,,,,,
47071515,Schnauzer,None,,,,,,,,
47071514,German,None,,,,,,,,
47071509,Labrador,None,,,,,,,,
47071503,Labrador,None,,,,,,,,
47071505,Australian,None,,,,,,,,
47071496,Shepherd,None,,,,,,,,
47071494,Labrador,None,,,,,,,,
47071493,Shih,None,,,,,,,,
47071455,Labrador,Yellow,,,,,,,,
47071457,Mixed,None,,,,,,,,
47071476,Poodle,None,,,,,,,,
47071475,Pekingese,None,,,,,,,,
47071459,Australian,Red,,,,,,,,
47071464,Labrador,Yellow,,,,,,,,
47071472,American,None,,,,,,,,
47071471,Border,None,,,,,,,,
47071461,Labrador,None,,,,,,,,
47071446,Weimaraner,None,,,,,,,,
47071447,Pomeranian,Apricot,,,,,,,,
47071448,Mastiff,Yellow,,,,,,,,
47071445,Pug,Brindle,,,,,,,,
47071443,Poodle,Apricot,,,,,,,,
47071433,Dachshund,Golden,,,,,,,,
47071409,Black,Black,,,,,,,,
47071432,Poodle,Apricot,,,,,,,,
47071427,Pug,Golden,,,,,,,,
47071423,Terrier,Tricolor,,,,,,,,
47071436,Yorkshire,None,,,,,,,,
47071431,Labrador,Black,,,,,,,,
47071352,Hound,Apricot,,,,,,,,
47071413,Dachshund,Red,,,,,,,,
47071408,Pit,Bicolor,,,,,,,,
47071425,American,Brindle,,,,,,,,
47071417,Yorkshire,Black,,,,,,,,
47071394,Boxer,White,,,,,,,,
47071418,Shepherd,Apricot,,,,,,,,
47071424,Coonhound,None,,,,,,,,
47071422,Great,None,,,,,,,,
47071420,German,None,,,,,,,,
47071405,Australian,Merle,,,,,,,,
47071416,Chihuahua,None,,,,,,,,
47071415,Poodle,None,,,,,,,,
47071414,Miniature,None,,,,,,,,
47071406,Pit,None,,,,,,,,
47071410,Dachshund,None,,,,,,,,
47071407,Dachshund,None,,,,,,,,
47071401,Dachshund,Apricot,,,,,,,,
47071397,Pit,None,,,,,,,,
47071403,Rat,None,,,,,,,,
47071391,Labrador,None,,,,,,,,
47071399,Australian,Merle,,,,,,,,
47071116,Terrier,Black,,,,,,,,
47071396,Australian,Merle,,,,,,,,
47071393,Labrador,Brown,,,,,,,,
47071362,Terrier,None,,,,,,,,
47071373,Terrier,Black,,,,,,,,
47071356,Dachshund,None,,,,,,,,
47071371,American,Black,,,,,,,,
47071335,Labrador,Tricolor,,,,,,,,
47071385,Pit,None,,,,,,,,
47071375,Chihuahua,None,,,,,,,,
47071383,Chihuahua,None,,,,,,,,
47071372,Labrador,Black,,,,,,,,
47071377,Pit,None,,,,,,,,
47071369,Labrador,White,,,,,,,,
47071341,Terrier,Brindle,,,,,,,,
47071342,Terrier,Bicolor,,,,,,,,
47071364,American,None,,,,,,,,
47071368,Poodle,None,,,,,,,,
47071336,Beagle,Tricolor,,,,,,,,
47071348,American,None,,,,,,,,
47071338,Labrador,Black,,,,,,,,
47071346,Labrador,None,,,,,,,,
47071343,Coonhound,None,,,,,,,,
47071339,Shepherd,Tricolor,,,,,,,,
47071340,Rottweiler,Black,,,,,,,,
47071241,Siberian,None,,,,,,,,
47071334,Canaan,None,,,,,,,,
47071158,Terrier,Brindle,,,,,,,,
47071217,Shepherd,Tricolor,,,,,,,,
47071211,American,Brown,,,,,,,,
47071332,Pit,Brown,,,,,,,,
47071331,Basset,None,,,,,,,,
47071329,American,None,,,,,,,,
47071316,Pit,None,,,,,,,,
47071319,Akita,None,,,,,,,,
47071320,Labrador,None,,,,,,,,
47071315,Dogue,None,,,,,,,,
47071317,Siberian,None,,,,,,,,
47071318,Mixed,None,,,,,,,,
47071325,Mixed,None,,,,,,,,
47071324,Miniature,None,,,,,,,,
47071313,Dachshund,None,,,,,,,,
47071305,Pit,None,,,,,,,,
47071309,Pit,None,,,,,,,,
47071308,Pit,None,,,,,,,,
47071312,Terrier,None,,,,,,,,
47071314,Labrador,None,,,,,,,,
47071310,German,None,,,,,,,,
47071306,Labrador,None,,,,,,,,
47071311,Terrier,None,,,,,,,,
47071307,Pit,None,,,,,,,,
47071302,Poodle,None,,,,,,,,
47071303,Poodle,None,,,,,,,,
47071295,Labrador,None,,,,,,,,
47071293,Pit,None,,,,,,,,
47071289,Labrador,None,,,,,,,,
47071288,Chihuahua,None,,,,,,,,
47071286,Great,None,,,,,,,,
47071287,Rhodesian,None,,,,,,,,
47071283,Staffordshire,None,,,,,,,,
47071282,American,None,,,,,,,,
47071284,Catahoula,None,,,,,,,,
47071285,American,None,,,,,,,,
